RANK,STATE,Reopening Plan,SCORE
-1,Alaska,Reopen Alaska Responsibly,96
-2,Florida,Re-Open Florida,96
-3,South Dakota,Back to Normal,96
-4,Alabama,ALtogether,93
-5,Missouri,Show Me Strong Recovery,90
-6,Nebraska,Keep Nebraska Healthy,89
-7,Oklahoma,Open Up and Recover Safely,89
-8,Kansas,Ad Astra: A Plan to Reopen Kansas,86
-9,Utah,Utah Leads Together,86
-10,South Carolina,AccelerateSC,85
-11,Iowa,Reopening,83
-12,Ohio,Responsible RestartOhio,82
-13,Wyoming,Transition,82
-14,Arizona,Arizona Together,81
-15,Idaho,Idaho Rebounds,80
-16,Indiana,Back on Track Indiana,79
-17,North Dakota,ND Smart Restart,79
-18,Arkansas,Getting Back to Business,78
-19,Montana,Reopening The Big Sky,78
-20,Georgia,Guidance for Businesses,76
-21,Virginia,Forward Virginia,70
-22,Mississippi,Safer At Home,69
-23,West Virginia,West Virginia Strong,68
-24,Maine,Restart Maine‰Ûªs Economy,67
-25,New Jersey,The Road Back,67
-26,Texas,Open Texas,66
-27,Nevada,Nevada United Recovery Roadmap,64
-28,Pennsylvania,Plan for Pennsylvania,62
-29,New Hampshire,Stay at Home 2.0,61
-30,Rhode Island,Reopening RI,61
-31,Tennessee,Tennessee Pledge,61
-32,North Carolina,Staying Ahead of the Curve,60
-33,Wisconsin,Badger Bounce Back,60
-34,Connecticut,Reopen Connecticut,59
-35,Maryland,Maryland Strong,57
-36,Kentucky,Healthy at Work,56
-37,Minnesota,Reopening,56
-38,Louisiana,Resilient Louisiana,55
-39,Massachusetts,Reopening,52
-40,Delaware,Restarting Delaware‰Ûªs Economy,50
-41,Colorado,Safer at Home,49
-42,Michigan,MI Safe Start,49
-43,New York,New York Forward,49
-44,Vermont,Reopening,48
-45,Oregon,Reopening Oregon,47
-46,Hawaii,Reopening,43
-47,Illinois,Restore Illinois,40
-48,Washington,Safe Start,39
-49,New Mexico,Reopening,28
-50,California,Blueprint for a Safer Economy,22
